Job_Title,Candidate,Similarity_Score
Software Engineer,C8692,0.5058204332987467
Software Engineer,C3019,0.5366471310456594
Software Engineer,C3899,0.6038199861844381
Software Engineer,C7996,0.5931878586610159
Software Engineer,C9567,0.5009174247582754
Software Engineer,C3464,0.539253349105517
Software Engineer,C8203,0.5112400551637014
Software Engineer,C3620,0.5256341497103373
Software Engineer,C8239,0.5697952210903168
Software Engineer,C3627,0.5098167359828949
Software Engineer,C5725,0.59245232741038
Software Engineer,C5390,0.508139838774999
Software Engineer,C7318,0.5305246114730835
Software Engineer,C2250,0.5436671276887258
Software Engineer,C7497,0.5457130173842112
Software Engineer,C6746,0.5629532237847646
Software Engineer,C2775,0.5694069763024648
Software Engineer,C2669,0.5172107716401418
Software Engineer,C5121,0.5428303976853689
Software Engineer,C1070,0.5441083212693533
Software Engineer,C9779,0.5858023464679718
Software Engineer,C2607,0.5742873251438141
Software Engineer,C7226,0.5624358952045441
Software Engineer,C6631,0.5453998545805613
Software Engineer,C9919,0.5390056868394216
Software Engineer,C6059,0.4938195248444875
Software Engineer,C9897,0.570667952299118
Software Engineer,C2287,0.5496717194716135
Software Engineer,C1191,0.5484429399172465
Software Engineer,C3912,0.6154752771059672
Software Engineer,C7093,0.5128118594487509
Software Engineer,C7842,0.5494154791037241
Software Engineer,C1781,0.5515920718510946
Software Engineer,C4742,0.5733026365439097
Software Engineer,C4999,0.5210264523824056
Software Engineer,C8564,0.553520013888677
Software Engineer,C6315,0.5764753520488739
Software Engineer,C6776,0.5590417683124542
Software Engineer,C7831,0.5354457994302114
Software Engineer,C5951,0.5491740802923838
Software Engineer,C5767,0.5636240939299265
Software Engineer,C8420,0.5425160825252533
Software Engineer,C7775,0.5100860695044199
Software Engineer,C5661,0.49764614303906757
Software Engineer,C7228,0.5273710588614146
Software Engineer,C5804,0.4839017589886983
Software Engineer,C4552,0.5563585460186005
Software Engineer,C3761,0.5425970057646433
Software Engineer,C2808,0.507604330778122
Software Engineer,C1320,0.5410474240779877
Software Engineer,C2838,0.4947420557339986
Software Engineer,C8035,0.5445346534252167
Software Engineer,C2720,0.5282884736855825
Software Engineer,C1161,0.5657864908377329
Software Engineer,C3017,0.5238068997859955
Software Engineer,C6583,0.542524129152298
Software Engineer,C2546,0.5897456705570221
Software Engineer,C3363,0.5361704925696055
Software Engineer,C3570,0.5348460177580515
Software Engineer,C4194,0.5858140389124552
Software Engineer,C2603,0.5391924480597178
Software Engineer,C1061,0.5571764608224233
Software Engineer,C5125,0.5336497376362482
Software Engineer,C3557,0.5297571917374929
Software Engineer,C3445,0.5201317369937897
Software Engineer,C5756,0.6040353973706564
Software Engineer,C5649,0.5014930864175161
Software Engineer,C9262,0.5374159514904022
Software Engineer,C5007,0.5271305441856384
Software Engineer,C3863,0.6024131576220194
Software Engineer,C3830,0.5564445555210114
Software Engineer,C1164,0.5573278963565826
Software Engineer,C7869,0.5240300993124644
Software Engineer,C8849,0.6049542824427286
Software Engineer,C5451,0.5057934621969858
Software Engineer,C1701,0.5575122535228729
Software Engineer,C8518,0.5432993074258169
Software Engineer,C6357,0.5675384898980459
Software Engineer,C4331,0.5383961399396261
Software Engineer,C1677,0.4986705382664998
Software Engineer,C4444,0.5262633363405863
Software Engineer,C7527,0.5342910687128702
Software Engineer,C6979,0.5474125643571218
Software Engineer,C2098,0.5917705694834391
Software Engineer,C5230,0.5854840079943339
Software Engineer,C2652,0.5218319197495779
Software Engineer,C6507,0.5351969500382742
Software Engineer,C6592,0.5150264004866282
Software Engineer,C7231,0.5406378209590912
Software Engineer,C1499,0.5211072266101837
Software Engineer,C7032,0.5423541367053986
Software Engineer,C2139,0.5076068540414175
Software Engineer,C1236,0.5686357319355011
Software Engineer,C6129,0.5487492779890696
